analysis_id,43i7ukwnl506vg7
parameter_name,Mean corpuscular hemoglobin
parameter_id,IMPC_HEM_006_001
gene_symbol,Cisd2
pvalue,0.07071993
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914256
