analysis_id,19o73yy8a96k009
gene_accession_id,MGI:2446186
parameter_id,ESLIM_008_001_013
mouse_strain,C59BL
pvalue,0.3807595
parameter_name,Startle response
gene_symbol,Lpgat1
mouse_life_stage,Late adult
