parameter_name,Whole arena average speed
pvalue,0.5485408
parameter_id,JAX_OFD_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
analysis_id,z7t39wr3v4p5kpp
mouse_strain,C57BL
