gene_symbol,Slc30a4
pvalue,0.3707169
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
parameter_id,IMPC_DXA_007_001
mouse_strain,C57BL
parameter_name,BMC/Body weight
analysis_id,95y8lndca59p862
