analysis_id,5eor38th2r2581y
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88461
pvalue,0.4304914
parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
gene_symbol,Col6a3
