analysis_id,y3el889ut35vcp4
gene_symbol,Tbl1xr1
mouse_strain,C57BL
parameter_name,Tremor
gene_accession_id,MGI:2441730
pvalue,0.3394935
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_030_001
