parameter_id,IMPC_OFD_018_001
gene_accession_id,MGI:3045306
parameter_name,Latency to center entry
pvalue,0.06016396
mouse_life_stage,Early adult
analysis_id,01637e3xkg97g7m
mouse_strain,C57BL
gene_symbol,Exd1
