analysis_id,8g868q15kn08o1s
pvalue,0.6736968
gene_symbol,Morn5
parameter_id,IMPC_CSD_029_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Activity (body position)
gene_accession_id,MGI:1922745
