gene_symbol,Hrnr
mouse_life_stage,Early adult
analysis_id,w88m261j1gmg53q
gene_accession_id,MGI:3046938
parameter_id,IMPC_XRY_059_001
pvalue,0.9387926
parameter_name,Shape of ribcage
mouse_strain,C57BL
