analysis_id,c80cy7329r5ik1t
parameter_name,Effector NK cells - % of NK cells
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Pglyrp3
parameter_id,MGP_MLN_032_001
gene_accession_id,MGI:2685266
pvalue,0.4264797
