parameter_name,Lower teeth appearance
analysis_id,7vsj22xc3926ls6
gene_accession_id,MGI:1917604
parameter_id,IMPC_CSD_070_001
mouse_life_stage,Middle aged adult
pvalue,0.4465445
gene_symbol,Secisbp2l
mouse_strain,C57BL
