analysis_id,z0f9efl5d888tnm
parameter_id,IMPC_ECH_008_001
parameter_name,LVIDd
pvalue,0.4394362
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
mouse_strain,C57BL
gene_symbol,FGB
