analysis_id,8388905vz1314e9
parameter_name,CD11b-low cDC - % of cDC
gene_accession_id,MGI:104805
gene_symbol,Snrpb2
pvalue,0.6005137
mouse_strain,C57BL
parameter_id,MGP_IMM_067_001
mouse_life_stage,Early adult
