gene_symbol,Cldn19
parameter_id,IMPC_GPP_004_001
analysis_id,448819hl110s4v0
pvalue,0.8609536
parameter_name,Placenta Size
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
