gene_symbol,Ola1
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,83921ry8470jsod
mouse_strain,C57BL
parameter_id,MGP_MLN_005_001
pvalue,0.8028512
