parameter_name,Cornea
pvalue,0.4897507
parameter_id,IMPC_EYE_007_001
gene_accession_id,MGI:88461
gene_symbol,Col6a3
analysis_id,1ef0y67u00e66r5
mouse_life_stage,Early adult
mouse_strain,C57BL
