analysis_id,29y175s2flz400y
parameter_id,IMPC_HEM_039_001
parameter_name,Large Unstained Cell (LUC) count
mouse_strain,C57BL
gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
pvalue,0.9726952
