analysis_id,e201wq3xj9j5f4n
pvalue,0.3119061
parameter_name,Periphery permanence time
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_012_001
gene_accession_id,MGI:97838
