parameter_id,JAX_SLW_014_001
gene_accession_id,MGI:109384
parameter_name,Breath rate during sleep standard deviation
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Atf3
analysis_id,vqx28341nwad4pt
pvalue,0.9040439
