parameter_name,Eyelid morphology
gene_symbol,Secisbp2l
pvalue,0.5209594
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_id,IMPC_EYE_004_001
analysis_id,m64uwxwx9aeu68g
mouse_life_stage,Middle aged adult
