analysis_id,4g1328224l7ut3d
pvalue,0.6712071
parameter_name,110dB startle magnitude
gene_symbol,Ppm1j
mouse_strain,C57BL
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_006
