parameter_name,Glucose
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
analysis_id,478a94q363b323l
mouse_strain,C57BL
parameter_id,HMGULA_CBC_018_001
gene_symbol,Arpc5l
pvalue,0.705336
