analysis_id,0ng1706h6du943u
mouse_strain,C57BL
parameter_id,IMPC_GEL_027_001
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
gene_symbol,Mecom
pvalue,0.2938062
parameter_name,Neural tube closure
