analysis_id,3221qxt8i0hv639
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
mouse_strain,C57BL
gene_symbol,Atg4c
pvalue,0.8599112
parameter_name,Limb coat/hair presence
parameter_id,MGP_CSD_030_001
