analysis_id,2002807805vk266
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
pvalue,0.4583555
gene_symbol,Eprs1
parameter_id,ESLIM_007_001_015
mouse_strain,C57BL
parameter_name,Number of centre entries
