analysis_id,sk376mrs6uhr1l4
parameter_name,Bone Mineral Density (excluding skull)
gene_symbol,Sfpq
mouse_strain,C57BL
gene_accession_id,MGI:1918764
parameter_id,M-G-P_005_001_004
pvalue,0.8115953
mouse_life_stage,Early adult
