parameter_name,Head morphology
gene_symbol,Rab22a
mouse_life_stage,Early adult
pvalue,0.5734481
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
analysis_id,r0254tjfo682il8
gene_accession_id,MGI:105072
