analysis_id,2xs0u2l8u4o7y1j
pvalue,0.6580896
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
parameter_id,MGP_MLN_064_001
gene_symbol,Lcn2
parameter_name,Total CD4+ T cells - % of CD45+
