gene_symbol,Abo
mouse_strain,C57BL
analysis_id,t9711tkuk0v3lw1
pvalue,0.2839466
gene_accession_id,MGI:2135738
parameter_id,MGP_MLN_009_001
mouse_life_stage,Early adult
parameter_name,Effector Treg cells - % of Treg
