analysis_id,72cp0za260834l3
mouse_life_stage,Early adult
gene_symbol,F2
parameter_id,IMPC_CBC_058_001
parameter_name,Cholesterol ratio
gene_accession_id,MGI:88380
mouse_strain,C57BL
pvalue,0.5656075
