analysis_id,160j6yspu5hd81x
gene_symbol,Ola1
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
pvalue,0.8655972
parameter_name,Corneal vascularization
parameter_id,IMPC_EYE_009_001
