analysis_id,njo7sn1ki9yd219
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:95835
pvalue,0.4059089
parameter_id,MGP_MLN_005_001
mouse_life_stage,E9.5
gene_symbol,Hspa5
mouse_strain,C57BL
