gene_symbol,Pum1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_CSD_025_001
parameter_name,Ventral coat/hair presence
gene_accession_id,MGI:1931749
analysis_id,9779wcms0otpu0c
pvalue,0.6890887
