gene_symbol,STEAP3
mouse_strain,C57BL
gene_accession_id,MGI:1915678
pvalue,0.222148
mouse_life_stage,Early adult
analysis_id,r9n0p2jav1r0137
parameter_id,IMPC_ACS_034_001
parameter_name,% Pre-pulse inhibition - PPI2
