parameter_name,center - distance
pvalue,0.7831492
parameter_id,M-G-P_007_001_010
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
mouse_strain,C57BL
analysis_id,9amek6039ji46b9
gene_symbol,Mgst2
