gene_symbol,Ola1
pvalue,0.6466275
analysis_id,n021ad74887871q
mouse_life_stage,E18.5
parameter_id,MGP_IMM_110_001
mouse_strain,C57BL
gene_accession_id,MGI:1914309
parameter_name,Transitional 1 B cells - % of CD45+
