analysis_id,2gd1b454r06e1t4
pvalue,0.8301219
parameter_id,CCP_XRY_001_001
parameter_name,Skull shape
gene_symbol,Zmynd8
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1918025
