parameter_name,Glucose response AUC
mouse_strain,C57BL
gene_accession_id,MGI:2444554
pvalue,0.5172773
analysis_id,s4t9fji2lu3kj90
parameter_id,ESLIM_004_001_701
gene_symbol,Mapkap1
mouse_life_stage,E15.5
