gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ICS_FEA_019_001
pvalue,0.5547351
parameter_name,% Freezing duration pre-cue-2
analysis_id,xf2h0378z621z00
