gene_symbol,Sgip1
pvalue,0.3252428
mouse_strain,C57BL
analysis_id,ye749s0sx5v38hx
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_077_001
parameter_name,Contact righting
