parameter_name,Placenta Morphology
pvalue,0.4831572
gene_symbol,Inpp1
mouse_strain,129SV
parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:104848
analysis_id,xr3gur9f3lj20qu
mouse_life_stage,Early adult
