analysis_id,u3a1w66cozhq311
pvalue,0.7736596
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Eosinophil cell count
parameter_id,IMPC_HEM_036_001
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
