gene_symbol,Bach2
pvalue,0.3565635
gene_accession_id,MGI:894679
parameter_name,B1B Cells
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_064_001
mouse_strain,C57BL
analysis_id,uh6zul8x1wj97ep
