gene_symbol,Eprs1
mouse_strain,C57BL
gene_accession_id,MGI:97838
pvalue,0.1904395
mouse_life_stage,Early adult
parameter_id,ESLIM_001_001_117
parameter_name,eye size
analysis_id,z0742kp62vwhixu
