parameter_id,IMPC_ACS_033_001
pvalue,0.9278501
gene_accession_id,MGI:3026886
mouse_strain,C57BL
analysis_id,h5q079kw9850fg9
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI1
gene_symbol,Cdin1
