gene_symbol,Stk35
parameter_name,Forebrain
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1601883
analysis_id,800888y05127r65
gene_accession_id,MGI:1914583
parameter_id,IMPC_GEL_028_001
