analysis_id,4ywh03m5435b2l3
parameter_name,Urea (Blood Urea Nitrogen - BUN)
parameter_id,IMPC_CBC_004_001
gene_symbol,Sla2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
pvalue,0.3512895
