gene_symbol,Galnt13
analysis_id,n2696tvsu171286
parameter_id,IMPC_GEL_027_001
mouse_strain,C57BL
pvalue,0.6510974
gene_accession_id,MGI:2139447
parameter_name,Neural tube closure
mouse_life_stage,Late adult
