parameter_name,Body Weight
analysis_id,0s9r6u7gn886dx7
pvalue,0.2518276
gene_accession_id,MGI:1921493
parameter_id,M-G-P_012_001_005
gene_symbol,Slx4ip
mouse_strain,C57BL
mouse_life_stage,Early adult
