gene_symbol,Abo
pvalue,0.3727381
mouse_life_stage,Early adult
analysis_id,458j2d1rhn28lwv
gene_accession_id,MGI:2135738
mouse_strain,C57BL
parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
