analysis_id,v631998l0260350
parameter_name,Center average speed
parameter_id,IMPC_OFD_017_001
mouse_strain,C57BL
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
gene_symbol,Zyg11b
pvalue,0.2923286
