parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
analysis_id,65ukil4737770q7
gene_symbol,Casq1
mouse_life_stage,Early adult
pvalue,0.4341404
mouse_strain,C57BL
gene_accession_id,MGI:1309468
