gene_symbol,Lurap1
gene_accession_id,MGI:1915325
pvalue,0.3583376
parameter_name,CD11b-high cDC - % of CD45+
parameter_id,MGP_IMM_129_001
mouse_strain,C57BL
analysis_id,emeg4ht7fwm03g5
mouse_life_stage,Early adult
