parameter_id,IMPC_CSD_069_001
parameter_name,Upper teeth appearance
analysis_id,6558162hh55b628
pvalue,0.07919063
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
mouse_strain,C57BL
