analysis_id,q4i0gbmc4g2bu9y
parameter_name,Prepulse inhibition - PP4
pvalue,0.8545271
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
parameter_id,ESLIM_011_001_704
mouse_strain,C57BL
