parameter_name,Aspartate aminotransferase
mouse_life_stage,Early adult
analysis_id,5y50o3108huo3k8
mouse_strain,C57BL
parameter_id,IMPC_CBC_012_001
gene_accession_id,MGI:1274787
pvalue,0.9693335
gene_symbol,Trdmt1
