analysis_id,69i9jtq1747z4h9
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,Eye
pvalue,0.9322056
gene_accession_id,MGI:1914309
gene_symbol,Ola1
parameter_id,IMPC_EYE_001_001
