analysis_id,2g52s88q6w1be5p
gene_symbol,Wars2
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.3066269
parameter_id,IMPC_DXA_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1917810
