gene_symbol,Ntmt2
pvalue,0.2264414
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
parameter_id,IMPC_EYE_092_002
parameter_name,Retina (combined)
mouse_strain,C57BL
analysis_id,6d16ho7wo0uxmyb
