parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,l21gtku116y98di
parameter_name,Heart weight
pvalue,0.5767573
