analysis_id,t7w56mfli41430p
parameter_id,IMPC_CSD_047_001
mouse_strain,C57BL
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
pvalue,0.258852
mouse_life_stage,E9.5
parameter_name,Hindlimb digit - size
