mouse_strain,B6J
gene_symbol,Nr0b2
pvalue,0.5673108
parameter_name,Eye
analysis_id,73wr3v73ahsg156
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_id,M-G-P_014_001_001
