analysis_id,1r1r0dg90kokcig
parameter_id,MGP_IMM_048_001
mouse_life_stage,Early adult
pvalue,0.6985195
mouse_strain,C57BL
gene_symbol,Gfi1b
parameter_name,Follicular B cells - % of B2 cells
gene_accession_id,MGI:1276578
