analysis_id,05k09j8x99ogqq5
pvalue,0.5128137
gene_accession_id,MGI:88479
mouse_strain,C57BL
gene_symbol,Cpa3
parameter_id,IMPC_XRY_023_001
mouse_life_stage,Early adult
parameter_name,Ulna
